timestamp,pir_http,pir2,sound_amp_pir,sound_trig_pir,mic_occupied,door,sound_amp_door,sound_trig_door,scd40_co2,scd40_temp,scd40_hum,sen55_pm1,sen55_pm2_5,sen55_pm4,sen55_pm10,sen55_temp,sen55_hum,sen55_voc,sen55_nox,thermal-1,co2(sensors_sensors1),temperature(sensors_sensors1),humidity(sensors_sensors1),lux(sensors_sensors1),co2(sensors_sensors2),temperature(sensors_sensors2),humidity(sensors_sensors2),lux(sensors_sensors2),co2(sensors_sensors3),temperature(sensors_sensors3),humidity(sensors_sensors3),lux(sensors_sensors3),co2(sensors_sensors4),temperature(sensors_sensors4),humidity(sensors_sensors4),lux(sensors_sensors4),ground_truth
2025-09-08 23:54:43,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,0
2025-09-08 23:54:44,False,True,3,,True,OPEN,4,,,,,3.7,3.9,3.9,3.9,26.2,62.85,59,1,True,,,,,,,,,,,,,,,,,0
2025-09-08 23:54:45,False,False,3,,True,OPEN,2,,,,,3.7,3.9,3.9,3.9,26.2,62.84,59,1,True,,,,,,,,,688,24.07874,73.96964,65,,,,,0
2025-09-08 23:54:46,False,False,3,,True,OPEN,6,,,,,3.7,3.9,3.9,3.9,26.2,62.82,59,1,True,,,,,,,,,688,24.07874,73.96964,65,,,,,0
2025-09-08 23:54:47,False,True,3,,True,OPEN,1,,644,30.11635,54.38468,3.7,3.8,3.8,3.8,26.2,62.81,59,1,True,771,21.91043,,,,,,,688,24.07874,73.96964,65,717,22.55131,78.22079,135,0
2025-09-08 23:54:48,False,True,3,,True,OPEN,2,,644,30.11635,54.38468,3.7,3.8,3.8,3.8,26.2,62.79,59,1,False,771,21.91043,81.83871,58.33333,612,,,,688,24.07874,73.96964,65,717,22.55131,78.22079,135,0
2025-09-08 23:54:49,False,False,3,,True,OPEN,3,,644,30.11635,54.38468,3.7,3.8,3.8,3.8,26.2,62.79,59,1,False,771,21.91043,81.83871,58.33333,612,24.48196,72.60242,93.33333,688,24.07874,73.96964,65,717,22.55131,78.22079,135,0
2025-09-08 23:54:50,False,False,3,,True,OPEN,1,,644,30.11635,54.38468,3.7,3.9,3.9,3.9,26.2,62.79,59,1,True,771,21.91043,81.83871,58.33333,612,24.48196,72.60242,93.33333,692,24.0547,73.9086,67.5,717,22.55131,78.22079,135,0
2025-09-08 23:54:51,False,False,3,,True,OPEN,1,,644,30.11635,54.38468,3.7,3.9,3.9,3.9,26.2,62.78,59,1,False,771,21.91043,81.83871,58.33333,612,24.48196,72.60242,93.33333,692,24.0547,73.9086,67.5,717,22.55131,78.22079,135,0
2025-09-08 23:54:52,False,False,3,,True,OPEN,1,,645,30.12703,54.37858,3.7,3.9,3.9,3.9,26.2,62.77,59,1,False,771,21.91043,81.83871,58.33333,612,24.48196,72.60242,93.33333,692,24.0547,73.9086,67.5,720,22.56733,78.22079,135,0
2025-09-08 23:54:53,False,False,3,,True,OPEN,4,,645,30.12703,54.37858,3.7,3.9,3.9,3.9,26.2,62.76,59,1,False,774,21.92111,81.8143,0,612,24.48196,72.60242,93.33333,692,24.0547,73.9086,67.5,720,22.56733,78.1796,1.666667,0
2025-09-08 23:54:54,False,False,3,,True,CLOSED,2,,645,30.12703,54.37858,3.7,3.9,3.9,3.9,26.2,62.75,59,1,False,774,21.92111,81.8143,0,616,24.48196,72.53986,0,692,24.0547,73.9086,67.5,720,22.56733,78.1796,1.666667,0
2025-09-08 23:54:55,False,False,3,,True,CLOSED,1,,645,30.12703,54.37858,3.7,3.9,3.9,3.9,26.2,62.74,59,1,False,774,21.92111,81.8143,0,616,24.48196,72.53986,0,694,24.06806,73.9086,67.5,720,22.56733,78.1796,1.666667,0
2025-09-08 23:54:56,False,False,3,,True,CLOSED,7,,645,30.12703,54.37858,3.7,3.9,3.9,3.9,26.2,62.72,59,1,False,774,21.92111,81.8143,0,616,24.48196,72.53986,0,694,24.06806,73.84756,0.833333,720,22.56733,78.1796,1.666667,0
2025-09-08 23:54:57,False,False,3,,True,CLOSED,4,,645,30.13771,54.32517,3.7,3.9,3.9,3.9,26.2,62.71,59,1,False,774,21.92111,81.8143,0,616,24.48196,72.53986,0,694,24.06806,73.84756,0.833333,720,22.56733,78.1796,1.666667,0
2025-09-08 23:54:58,False,False,3,,True,CLOSED,4,,645,30.13771,54.32517,3.7,3.9,3.9,3.9,26.205,62.71,59,1,False,776,21.92912,81.68917,0,616,24.48196,72.53986,0,694,24.06806,73.84756,0.833333,723,22.55131,78.09262,2.5,0
2025-09-08 23:54:59,False,False,3,,True,CLOSED,7,,645,30.13771,54.32517,3.7,3.9,3.9,3.9,26.205,62.7,59,1,False,776,21.92912,81.68917,0,622,24.46326,72.46052,0,694,24.06806,73.84756,0.833333,723,22.55131,78.09262,2.5,0
2025-09-08 23:55:00,False,False,3,,True,CLOSED,2,,645,30.13771,54.32517,3.8,3.9,3.9,3.9,26.205,62.7,59,1,False,776,21.92912,81.68917,0,622,24.46326,72.46052,0,694,24.06806,73.84756,0.833333,723,22.55131,78.09262,2.5,0
2025-09-08 23:55:01,False,False,3,,True,CLOSED,3,,645,30.13771,54.32517,3.8,4,4,4,26.205,62.69,59,1,False,776,21.92912,81.68917,0,622,24.46326,72.46052,0,699,24.09209,73.70565,0.833333,723,22.55131,78.09262,2.5,0
2025-09-08 23:55:02,False,False,3,,True,CLOSED,2,,647,30.11101,54.29618,3.8,4,4,4,26.205,62.69,59,1,False,776,21.92912,81.68917,0,622,24.46326,72.46052,0,699,24.09209,73.70565,0.833333,723,22.55131,78.09262,2.5,0
2025-09-08 23:55:03,False,False,3,,True,CLOSED,2,,647,30.11101,54.29618,3.8,4,4,4,26.205,62.68,60,1,False,779,21.92111,81.68917,0,622,24.46326,72.46052,0,699,24.09209,73.70565,0.833333,723,22.56466,78.02243,2.5,0
2025-09-08 23:55:05,False,False,3,,True,CLOSED,2,,647,30.11101,54.29618,3.8,4,4,4,26.205,62.67,60,1,False,779,21.92111,81.55947,0,624,24.46861,72.46052,0,699,24.09209,73.70565,0.833333,723,22.56466,78.02243,2.5,0
2025-09-08 23:55:06,False,False,3,,True,CLOSED,5,,647,30.11101,54.29618,3.8,4,4,4,26.205,62.67,60,1,False,779,21.92111,81.55947,0,624,24.46861,72.36897,0,699,24.09209,73.70565,0.833333,723,22.56466,78.02243,2.5,0
2025-09-08 23:55:07,False,False,3,,True,CLOSED,2,,647,30.1297,54.23209,3.9,4.1,4.1,4.1,26.205,62.66,60,1,False,779,21.92111,81.55947,0,624,24.46861,72.36897,0,699,24.08675,73.61715,0.833333,723,22.56466,78.02243,2.5,0
2025-09-08 23:55:08,False,False,3,,True,CLOSED,2,,647,30.1297,54.23209,3.9,4.1,4.1,4.1,26.205,62.66,60,1,False,779,21.92111,81.55947,0,624,24.46861,72.36897,0,699,24.08675,73.61715,0.833333,723,22.56466,78.02243,2.5,0
