feature,importance
living__Occupied__mean5s__r15m,0.0
living__pir_http_1921682113000702__mean5s__r15m,0.0
living__pir_http_1921682113000701__mean5s__r15m,0.0
living__pir_http_1921682114000702__mean5s__r15m,0.0
living__pir_http_1921682114000701__mean5s__r15m,0.0
living__pir_http_1921682115000701__mean5s__r15m,0.0
living__pir_http_1921682115000702__mean5s__r15m,0.0
living__thermal-1__mean5s__r15m,0.0
living__mic_occupied__mean5s__r15m,0.0
living__sound_trig_pir__mean5s__r15m,0.0
living__sound_amp_pir__mean5s__r15m,0.0
living__pir2__mean5s__r15m,0.0
washitsu__sen55_voc__mean5s__r15m,0.0
washitsu__sen55_hum__mean5s__r15m,0.0
washitsu__sen55_temp__mean5s__r15m,0.0
sleeping_room__sen55_nox__r15m,0.0
sleeping_room__sen55_hum__r15m,0.0
sleeping_room__sen55_temp__r15m,0.0
sleeping_room__sen55_pm10__r15m,0.0
sleeping_room__sen55_pm4__r15m,0.0
sleeping_room__sen55_pm2_5__r15m,0.0
sleeping_room__sen55_pm1__r15m,0.0
sleeping_room__scd40_hum__r15m,0.0
sleeping_room__scd40_temp__r15m,0.0
sleeping_room__scd40_co2__r15m,0.0
sleeping_room__lux(sleeping)__r15m,0.0
sleeping_room__humidity(sleeping)__r15m,0.0
sleeping_room__temperature(sleeping)__r15m,0.0
sleeping_room__co2(sleeping)__r15m,0.0
living__Number of People__r15m,0.0
living__Occupied__r15m,0.0
living__mic_occupied__r15m,0.0
living__sound_amp_pir__r15m,0.0
living__sound_trig_door__r15m,0.0
living__sound_amp_door__r15m,0.0
living__door__r15m,0.0
living__sen55_nox__r15m,0.0
sleeping_room__sen55_voc__r15m,0.0
sleeping_room__door__r15m,0.0
washitsu__sen55_pm10__mean5s__r15m,0.0
sleeping_room__sound_amp_door__r15m,0.0
washitsu__sen55_pm4__mean5s__r15m,0.0
washitsu__sen55_pm2_5__mean5s__r15m,0.0
washitsu__sen55_pm1__mean5s__r15m,0.0
washitsu__scd40_hum__mean5s__r15m,0.0
washitsu__scd40_temp__mean5s__r15m,0.0
washitsu__scd40_co2__mean5s__r15m,0.0
washitsu__sound_trig_door__mean5s__r15m,0.0
washitsu__sound_amp_door__mean5s__r15m,0.0
washitsu__door__mean5s__r15m,0.0
washitsu__mic_occupied__mean5s__r15m,0.0
washitsu__sound_trig_pir__mean5s__r15m,0.0
washitsu__sound_amp_pir__mean5s__r15m,0.0
washitsu__pir2__mean5s__r15m,0.0
washitsu__pir_http_0701__mean5s__r15m,0.0
